Category,Sub Category,Price,Rating,Title,Feature
Electornics and Appliances,Batteries,20.99,,"Duracell Coppertop Alkaline AA Batteries, 40-count",POWER BOOSTaÑ¢ Ingredients   Guaranteed For 12 Years In Storage   #1 Trusted Battery Brand   Long Lasting Performance
Electornics and Appliances,Batteries,20.99,,"Duracell Coppertop Alkaline AAA Batteries, 40-count",POWER BOOSTaÑ¢ Ingredients   Guaranteed For 12 Years In Storage   #1 Trusted Battery Brand   Long Lasting Performance
Electornics and Appliances,Batteries,20.99,,"Duracell 9V Alkaline Batteries, 8-count",Long-Lasting Batteries Designed for Dependability   Guaranteed 5 Years in Storage   #1 Trusted Battery Brand
Electornics and Appliances,Batteries,18.99,,"Duracell C Alkaline Batteries, 14-count",Long-Lasting Batteries Designed for Dependability   Guaranteed 10 Years in Storage   #1 Trusted Battery Brand
Electornics and Appliances,Batteries,14.99,Rated 4.8 out of 5 stars based on 125 reviews.,"Duracell 2032 Lithium Coin Batteries, 12-count",Our Longest Lasting Lithium Coin Battery Ever   Compatible with Apple AirTag   Child Safety - Bitter Taste Discourages Swallowing   Child Secure Packaging   Guaranteed 10 Years in Storage
Electornics and Appliances,Batteries,18.99,,"Duracell D Alkaline Batteries, 14-count",Long-Lasting Batteries Designed for Dependability   Guaranteed 10 Years in Storage   #1 Trusted Battery Brand
Electornics and Appliances,Batteries,299.99,,Jackery Explorer 550 Portable Power Station,"500W Output Power, 1000W Peak   High Power, Large Capacity 550Wh   Multiple Input / Out Ports, Charge up to 7 Devices Simultaneously   Station Features: 1 AC Outlet, 2 DC Ports, 1 Car Port and 3 USB-A Ports   Multiple Charging Methods: Solar Panel, Car Outlets, Wall Charge"
Electornics and Appliances,Batteries,"1,149.99",,Jackery Explorer 2000 Pro Portable Power Station,"2220W Output Power, 4400W Peak   High Power, Large Capacity 2160Wh   Multiple Input / Out Ports, Charge up to 8 Devices Simultaneously   Station Features: 3 AC Outlets, 2 USB-A Ports, 2 USB-C Ports, 1 Car Port   Multiple Charging Methods: Solar Panel, Car Outlets, Wall Charge"
Electornics and Appliances,Cameras and Camcorders,289.99,Rated 4.2 out of 5 stars based on 238 reviews.,GoPro HERO11 Black Action Camera Bundle,"Also Includes: Shorty Hand Grip, Spare Enduro Battery (2 total), Compact Case, 64GB microSD   5K Video + 27MP Photos
Waterproof up to 33 feet
Built-in Wi-Fi, Bluetooth and Voice Control
Webcam and Live Streaming Functionality"
Electornics and Appliances,Cameras and Camcorders,399.99,Rated 4.4 out of 5 stars based on 99 reviews.,Insta360 X3 - 5.7K 360a∞ Action Camera Adventure Bundle,"X3 Captures 5.7K 360 Active HDR Video   Dual 1/2"" 48MP Sensors for Greater Clarity and Detail   4K Single-Lens Mode: Select a Lens to Shoot Wide-Angle Footage   Flowstate Stabilization and Horizon Leveling Algorithms Deliver Smooth Videos   In the Box: Insta360 X3, Cable, Pouch, Lens Cloth and Cap, Extra Battery, Selfie Stick, and Memory Card"
Electornics and Appliances,Cameras and Camcorders,429.99,Rated 4.4 out of 5 stars based on 115 reviews.,DJI Mini 3 Drone Aerial Camera Bundle,Less Than 249g (0.55lbs) Ultralight and Foldable   Gimbal with 4K HDR Camera   38-Min Flight Time and True Vertical Shooting   38kph (Level 5) Wind Resistance   Includes: 64GB SD Card and ND Filter Set
Electornics and Appliances,Cameras and Camcorders,239.97,Rated 4.1 out of 5 stars based on 311 reviews.,GoPro HERO10 Black Action Camera Bundle,"Also Includes: Extra Battery/Charger, Compact Case and 64GB MicroSD
5K Video + 20MP Photos
Waterproof up to 33 feet
Built-in Wi-Fi, Bluetooth and Voice Control
Webcam and Live Streaming Functionality"
Electornics and Appliances,Cameras and Camcorders,349.99,Rated 3.6 out of 5 stars based on 11 reviews.,Insta360 GO 3 Action Camera Bundle,"Includes Pendant, Easy Clip, and Pivot Stand Accessories   Also Includes 64GB microSD Card   Detachable Camera for Ultimate Mounting Flexibility and Convenience   Control Camera Remotely with Action Pod   IPX4 Waterproofing"
Electornics and Appliances,Cameras and Camcorders,839.99,Rated 4.5 out of 5 stars based on 418 reviews.,DJI Mini 3 Pro Drone Bundle,"Less Than 0.55lbs Ultralight and Foldable   Tri-Directional Obstacle Sensing with 48MP Camera   34-Min Flight Time and 4K HDR Video   True Vertical Shooting and Focus Track   Includes: 2 Extra Batteries, Battery Charger, and 128GB microSD"
Electornics and Appliances,Cameras and Camcorders,849.99,Rated 4.3 out of 5 stars based on 49 reviews.,Autel Robotics - EVO Lite+ Premium Bundle - Drone with Remote Controller (Android and iOS Compatible) - Orange,"Get Crisp, Vibrant Details at Night with Autela ERUOôs Moonlight Algorithm a ERUOì Even with the ISO Cranked High   Fly Farther with Crisp, Clear Visuals with Autel SkyLink and a Transmission Range of 7.4 miles   Fly Confidently with New Ultra-Wide Angle Obstacle Avoidance"
Electornics and Appliances,Desktop Computers and PCs,649.99,Rated 4.5 out of 5 stars based on 128 reviews.,Lenovo IdeaCentre 3i Desktop - 13th Gen Intel Core i5-13400 - Windows 11,13th Gen Intela   Core i5-13400 (10-Core) Processor   Wi-Fi 6 (2x2/160) Gig+ and Bluetooth 5.0   Integrated Intela   UHD 730 Graphics   Wired Keyboard and Wired Mouse   Microsofta   Windows 11 Home (64-bit)
Electornics and Appliances,Desktop Computers and PCs,"1,699.99",Rated 5 out of 5 stars based on 4 reviews.,Dell XPS Tower - 13th Gen Intel Core i7-13700 - GeForce RTX 4060Ti - Windows 11  ,"13th Gen Intela   Core i7-13700 (16-Core) Processor   NVIDIA GeForce RTXaÑ¢ 4060Ti, 8GB   KilleraÑ¢ Wi-Fi 6E AX1675 (2x2) Gig+ and Bluetooth 5.3   Dell Multimedia Keyboard and Wired Mouse   1 Year Dell Onsite Service after Remote Diagnosisa≤"
Electornics and Appliances,Desktop Computers and PCs,579.99,Rated 4.7 out of 5 stars based on 186 reviews.,"Mac mini a ERUOì Apple M2 Chip 8-core CPU, 10-core GPU a ERUOì 8GB Memory a ERUOì 256GB SSD a ERUOì  Silver","M2 Chip for Exceptional Speed and Performance   8-Core CPU Packs up to 18 Percent Faster Performance to Fly Through Workflows1:
10-Core GPU with up to 35 Percent Faster Performance for Graphics-intensive Apps1   16-Core Neural Engine for Advanced Machine Learning"
